provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
openai_gpt_4_1_mini,rule_0003,3906c7762ca57ba374c398d1,conflict,no,False,yes,False,no,False,False,T,yes,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0003,3906c7762ca57ba374c398d1,conflict,no,False,yes,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0003,3906c7762ca57ba374c398d1,conflict,no,False,yes,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0015,39b6fa71a01fed3ef08c29de,yes,no,False,yes,True,yes,True,True,T,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0015,39b6fa71a01fed3ef08c29de,yes,no,False,yes,True,yes,True,True,T_factlocked,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0015,39b6fa71a01fed3ef08c29de,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0023,40e1cc6d5817ad2418abd157,yes,no,False,yes,True,yes,True,True,T,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0023,40e1cc6d5817ad2418abd157,yes,no,False,yes,True,yes,True,True,T_factlocked,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0023,40e1cc6d5817ad2418abd157,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0026,44b44eb94f668587b47b0ff3,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0026,44b44eb94f668587b47b0ff3,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0026,44b44eb94f668587b47b0ff3,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0027,47802eb36f6e3dba37361a03,conflict,no,False,no,False,no,False,False,T,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0027,47802eb36f6e3dba37361a03,conflict,no,False,no,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0027,47802eb36f6e3dba37361a03,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0014,5e61096b9eac1dd3cd680484,no,no,True,no,True,no,True,True,T,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0014,5e61096b9eac1dd3cd680484,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0014,5e61096b9eac1dd3cd680484,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0013,6c6d578989deac1d2287176e,yes,no,False,yes,True,yes,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0013,6c6d578989deac1d2287176e,yes,no,False,yes,True,yes,True,True,T_factlocked,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0013,6c6d578989deac1d2287176e,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0006,79eec6b3f54fd08158f43f8c,yes,no,False,no,False,no,False,False,T,conflict,False,False,False,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0006,79eec6b3f54fd08158f43f8c,yes,no,False,no,False,no,False,False,T_factlocked,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0006,79eec6b3f54fd08158f43f8c,yes,no,False,no,False,no,False,False,T_oracle_text,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0001,801c737ccff18f20514525f7,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0001,801c737ccff18f20514525f7,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0001,801c737ccff18f20514525f7,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0002,857afa107587248e5e8f48a3,conflict,no,False,no,False,no,False,False,T,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0002,857afa107587248e5e8f48a3,conflict,no,False,no,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0002,857afa107587248e5e8f48a3,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0017,85ea0c4beb88c0e8c337bc7b,yes,no,False,yes,True,yes,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0017,85ea0c4beb88c0e8c337bc7b,yes,no,False,yes,True,yes,True,True,T_factlocked,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0017,85ea0c4beb88c0e8c337bc7b,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,True,False,False,
openai_gpt_4_1_mini,rule_0022,876f65bb3eefd138676fb132,conflict,no,False,no,False,no,False,False,T,no,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0022,876f65bb3eefd138676fb132,conflict,no,False,no,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0022,876f65bb3eefd138676fb132,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0025,9c92c768b88fd943fe37df37,no,no,True,no,True,no,True,True,T,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0025,9c92c768b88fd943fe37df37,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0025,9c92c768b88fd943fe37df37,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0007,9f4c208cebba799031133aa7,no,no,True,no,True,no,True,True,T,yes,False,False,True,False,answer_mismatch
openai_gpt_4_1_mini,rule_0007,9f4c208cebba799031133aa7,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0007,9f4c208cebba799031133aa7,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0011,a3b943ee0997c0c82d25359f,conflict,no,False,no,False,no,False,False,T,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0011,a3b943ee0997c0c82d25359f,conflict,no,False,no,False,no,False,False,T_factlocked,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0011,a3b943ee0997c0c82d25359f,conflict,no,False,no,False,no,False,False,T_oracle_text,conflict,True,False,False,True,
openai_gpt_4_1_mini,rule_0000,aac9e206ed7af8f2ef5d182e,no,no,True,no,True,no,True,True,T,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0000,aac9e206ed7af8f2ef5d182e,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0000,aac9e206ed7af8f2ef5d182e,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0019,afe50b95e05350592e2bf091,no,no,True,no,True,no,True,True,T,yes,False,False,True,False,answer_mismatch
openai_gpt_4_1_mini,rule_0019,afe50b95e05350592e2bf091,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0019,afe50b95e05350592e2bf091,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0024,b688ebe7b987c2a2b77ed606,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0024,b688ebe7b987c2a2b77ed606,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0024,b688ebe7b987c2a2b77ed606,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0005,c810d5ce9752e41e91565fba,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0005,c810d5ce9752e41e91565fba,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0005,c810d5ce9752e41e91565fba,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0016,cb83e75258e8d85d3e11d46b,no,no,True,no,True,no,True,True,T,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0016,cb83e75258e8d85d3e11d46b,no,no,True,no,True,no,True,True,T_factlocked,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0016,cb83e75258e8d85d3e11d46b,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0029,dc3ae2a369939f2b01e27b15,no,no,True,no,True,no,True,True,T,conflict,False,False,True,False,conflict_overgeneration
openai_gpt_4_1_mini,rule_0029,dc3ae2a369939f2b01e27b15,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0029,dc3ae2a369939f2b01e27b15,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0020,e60d8b503e1c3fd8723b9c92,no,no,True,no,True,no,True,True,T,yes,False,False,True,False,answer_mismatch
openai_gpt_4_1_mini,rule_0020,e60d8b503e1c3fd8723b9c92,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0020,e60d8b503e1c3fd8723b9c92,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0009,f83213c6f2c11284041f8846,yes,no,False,no,False,yes,True,False,T,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0009,f83213c6f2c11284041f8846,yes,no,False,no,False,yes,True,False,T_factlocked,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0009,f83213c6f2c11284041f8846,yes,no,False,no,False,yes,True,False,T_oracle_text,yes,True,False,False,True,
openai_gpt_4_1_mini,rule_0010,ff416586d05cb1feb428fa82,no,no,True,no,True,no,True,True,T,yes,False,False,True,False,answer_mismatch
openai_gpt_4_1_mini,rule_0010,ff416586d05cb1feb428fa82,no,no,True,no,True,no,True,True,T_factlocked,no,True,True,False,False,
openai_gpt_4_1_mini,rule_0010,ff416586d05cb1feb428fa82,no,no,True,no,True,no,True,True,T_oracle_text,no,True,True,False,False,
