provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,corrupted_final_label,label_dependence_case,derivation_dependence_case,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
openai_gpt_4_1_mini,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,no,False,yes,False,yes,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0012,8394cdb54ce1c21f2d39224a,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0012,8394cdb54ce1c21f2d39224a,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0012,8394cdb54ce1c21f2d39224a,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0012,8394cdb54ce1c21f2d39224a,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0028,883ea396dffc3e77834bf0d1,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0028,883ea396dffc3e77834bf0d1,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0028,883ea396dffc3e77834bf0d1,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0028,883ea396dffc3e77834bf0d1,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0019,b890edf92c27501650395521,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0019,b890edf92c27501650395521,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0019,b890edf92c27501650395521,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0019,b890edf92c27501650395521,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0014,bad5237bb0566ca605be093c,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0014,bad5237bb0566ca605be093c,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0014,bad5237bb0566ca605be093c,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0014,bad5237bb0566ca605be093c,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0017,c2f7c38f1cd431cffd370b00,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0017,c2f7c38f1cd431cffd370b00,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0017,c2f7c38f1cd431cffd370b00,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0017,c2f7c38f1cd431cffd370b00,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0024,c5f62b0ad28a8b40107fdb3d,no,no,True,yes,False,yes,False,False,T_oracle_corrupt_final,no,True,conflict,False,True,False,False,True,
openai_gpt_4_1_mini,rule_0024,c5f62b0ad28a8b40107fdb3d,no,no,True,yes,False,yes,False,False,T_oracle_no_final,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0024,c5f62b0ad28a8b40107fdb3d,no,no,True,yes,False,yes,False,False,T_oracle_no_final_no_active,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0024,c5f62b0ad28a8b40107fdb3d,no,no,True,yes,False,yes,False,False,T_oracle_text,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0001,d84520815f9990935422728b,no,no,True,yes,False,yes,False,False,T_oracle_corrupt_final,no,True,conflict,False,True,False,False,True,
openai_gpt_4_1_mini,rule_0001,d84520815f9990935422728b,no,no,True,yes,False,yes,False,False,T_oracle_no_final,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0001,d84520815f9990935422728b,no,no,True,yes,False,yes,False,False,T_oracle_no_final_no_active,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0001,d84520815f9990935422728b,no,no,True,yes,False,yes,False,False,T_oracle_text,no,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0003,d8c4c99b4855b3782c3af854,conflict,no,False,yes,False,yes,False,False,T_oracle_corrupt_final,yes,False,yes,True,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0003,d8c4c99b4855b3782c3af854,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final,yes,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0003,d8c4c99b4855b3782c3af854,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final_no_active,yes,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0003,d8c4c99b4855b3782c3af854,conflict,no,False,yes,False,yes,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0018,d93abd727cc1b90ee88a845a,conflict,no,False,yes,False,yes,False,False,T_oracle_corrupt_final,yes,False,yes,True,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0018,d93abd727cc1b90ee88a845a,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0018,d93abd727cc1b90ee88a845a,conflict,no,False,yes,False,yes,False,False,T_oracle_no_final_no_active,no,False,,False,False,False,False,False,conflict_collapse
openai_gpt_4_1_mini,rule_0018,d93abd727cc1b90ee88a845a,conflict,no,False,yes,False,yes,False,False,T_oracle_text,conflict,True,,False,False,False,False,True,
openai_gpt_4_1_mini,rule_0023,d980032889101401f8cd9414,yes,no,False,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0023,d980032889101401f8cd9414,yes,no,False,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0023,d980032889101401f8cd9414,yes,no,False,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0023,d980032889101401f8cd9414,yes,no,False,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0005,e907207d98f3f48ba2e2edb4,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0005,e907207d98f3f48ba2e2edb4,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0005,e907207d98f3f48ba2e2edb4,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0005,e907207d98f3f48ba2e2edb4,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0004,f1f456a8a8ff9acccb59819d,no,no,True,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
openai_gpt_4_1_mini,rule_0004,f1f456a8a8ff9acccb59819d,no,no,True,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0004,f1f456a8a8ff9acccb59819d,no,no,True,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
openai_gpt_4_1_mini,rule_0004,f1f456a8a8ff9acccb59819d,no,no,True,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
